"","rowMother","rowPlanted","rowPsaDeath","rowSurvival"
"1","cAC",36,0,"100.00"
"2","cAD",22,0,"100.00"
"3","cAE",45,0,"100.00"
"4","cD",35,0,"100.00"
"5","cJ",13,0,"100.00"
"6","control",9,0,"100.00"
"7","cP",26,0,"100.00"
"8","cU",40,0,"100.00"
"9","cW",33,0,"100.00"
"10","cXA",1,0,"100.00"
"11","cXZ",21,0,"100.00"
"12","cYB",8,0,"100.00"
"13","cYH",30,0,"100.00"
"14","cYJ",18,0,"100.00"
"15","cYK",54,0,"100.00"
"16","cZ",1,0,"100.00"
"17","Hayward",22,0,"100.00"
"18","MA",872,53," 93.92"
"19","MF",645,48," 92.56"
"20","MU",453,23," 94.92"
"21","NA",358,10," 97.21"
"22","NB",2,0,"100.00"
"23","NG",614,68," 88.93"
"24","NH",14,1," 92.86"
"25","QA",40,4," 90.00"
"26","QC",93,14," 84.95"
"27","QD",161,26," 83.85"
"28","QE",92,60," 34.78"
"29","rPD",71,0,"100.00"
"30","TG",12,1," 91.67"
"31","ZI",176,10," 94.32"
"32","ZS",130,14," 89.23"
