"","Planted","PsaDeaths","survivalrate","MotherBrCrCode"
"1",36,0,100,"cAC"
"2",22,0,100,"cAD"
"3",45,0,100,"cAE"
"4",35,0,100,"cD"
"5",13,0,100,"cJ"
"6",31,0,100,"control"
"7",26,0,100,"cP"
"8",40,0,100,"cU"
"9",33,0,100,"cW"
"10",1,0,100,"cXA"
"11",21,0,100,"cXZ"
"12",8,0,100,"cYB"
"13",30,0,100,"cYH"
"14",18,0,100,"cYJ"
"15",54,0,100,"cYK"
"16",1,0,100,"cZ"
"17",872,53,93.92,"MA"
"18",645,48,92.56,"MF"
"19",453,23,94.92,"MU"
"20",358,10,97.21,"NA"
"21",2,0,100,"NB"
"22",614,68,88.93,"NG"
"23",14,1,92.86,"NH"
"24",60,5,91.67,"PH"
"25",40,4,90,"QA"
"26",93,14,84.95,"QC"
"27",161,26,83.85,"QD"
"28",92,60,34.78,"QE"
"29",71,0,100,"rPD"
"30",12,1,91.67,"TG"
"31",176,10,94.32,"ZI"
"32",130,14,89.23,"ZS"
